0,0.0000001940,0.0000002090
1,0.0000004160,0.0000001880
2,0.0000004010,0.0000001920
4,0.0000003890,0.0000001790
8,0.0000003860,0.0000001960
16,0.0000003880,0.0000001950
32,0.0000004230,0.0000001930
64,0.0000004120,0.0000001930
128,0.0000004130,0.0000002010
256,0.0000004290,0.0000002200
512,0.0000004430,0.0000002330
1024,0.0000004810,0.0000003080
2048,0.0000006710,0.0000004440
4096,0.0000012070,0.0000009020
8192,0.0000019300,0.0000016050
16384,0.0000033420,0.0000028670
32768,0.0000072990,0.0000066780
65536,0.0000173420,0.0000168620
131072,0.0000356250,0.0000348750
262144,0.0000708520,0.0000676260
524288,0.0001443100,0.0001425300
1048576,0.0003297300,0.0003256900
2097152,0.0016808700,0.0015391200
4194304,0.0025426600,0.0041010400
8388608,0.0054405700,0.0098128400
16777216,0.0114682600,0.0199946000
33554432,0.0240143100,0.0375402800
