0,0.0000001610,0.0000001770
1,0.0000003570,0.0000001610
2,0.0000003520,0.0000001600
4,0.0000003540,0.0000001600
8,0.0000003490,0.0000001640
16,0.0000003470,0.0000001770
32,0.0000003650,0.0000001600
64,0.0000003530,0.0000001790
128,0.0000003520,0.0000001790
256,0.0000003870,0.0000001910
512,0.0000003940,0.0000002020
1024,0.0000004540,0.0000002820
2048,0.0000005940,0.0000003900
4096,0.0000010410,0.0000008430
8192,0.0000016980,0.0000014430
16384,0.0000031330,0.0000028360
32768,0.0000069210,0.0000065840
65536,0.0000162410,0.0000153360
131072,0.0000327750,0.0000325200
262144,0.0000650790,0.0000646570
524288,0.0001384300,0.0001360800
1048576,0.0003074300,0.0002998700
2097152,0.0013876000,0.0013116300
4194304,0.0022659200,0.0038401000
8388608,0.0051370900,0.0089608200
16777216,0.0106946700,0.0180529700
33554432,0.0218026100,0.0362483600
