0,0.0000001620,0.0000001510
1,0.0000003760,0.0000001690
2,0.0000003950,0.0000001490
4,0.0000003500,0.0000001530
8,0.0000003500,0.0000001290
16,0.0000003530,0.0000001600
32,0.0000003660,0.0000001680
64,0.0000003610,0.0000001580
128,0.0000003630,0.0000001600
256,0.0000004330,0.0000002040
512,0.0000003840,0.0000001820
1024,0.0000004090,0.0000002380
2048,0.0000005940,0.0000003960
4096,0.0000010690,0.0000008280
8192,0.0000018920,0.0000016100
16384,0.0000033940,0.0000030870
32768,0.0000073420,0.0000073450
65536,0.0000177670,0.0000167810
131072,0.0000354300,0.0000346380
262144,0.0000714060,0.0000715730
524288,0.0001514100,0.0001478300
1048576,0.0003598900,0.0003488600
2097152,0.0016368100,0.0015195800
4194304,0.0029237900,0.0024762500
8388608,0.0053207800,0.0052444900
16777216,0.0123400100,0.0114833800
33554432,0.0238690200,0.0255650900
