0,0.0000001680,0.0000001510
1,0.0000003540,0.0000001530
2,0.0000003530,0.0000001560
4,0.0000003560,0.0000001580
8,0.0000003580,0.0000001560
16,0.0000003590,0.0000001700
32,0.0000003500,0.0000001570
64,0.0000003510,0.0000001510
128,0.0000003610,0.0000001650
256,0.0000003840,0.0000001420
512,0.0000004050,0.0000002000
1024,0.0000004260,0.0000002300
2048,0.0000006010,0.0000003940
4096,0.0000010930,0.0000007980
8192,0.0000016780,0.0000014490
16384,0.0000031040,0.0000028450
32768,0.0000073900,0.0000067990
65536,0.0000167640,0.0000163510
131072,0.0000342720,0.0000336110
262144,0.0000680050,0.0000675100
524288,0.0001443900,0.0001417900
1048576,0.0003192400,0.0003162900
2097152,0.0014099700,0.0013662700
4194304,0.0023019800,0.0023889800
8388608,0.0052110800,0.0051703500
16777216,0.0108644700,0.0108770700
33554432,0.0222104000,0.0221457000
