0,0.0000001790,0.0000001850
1,0.0000003580,0.0000001600
2,0.0000003560,0.0000001650
4,0.0000003580,0.0000001640
8,0.0000003580,0.0000001720
16,0.0000003670,0.0000001710
32,0.0000003640,0.0000001700
64,0.0000003560,0.0000001880
128,0.0000003670,0.0000001780
256,0.0000003760,0.0000001790
512,0.0000004000,0.0000002130
1024,0.0000004290,0.0000002820
2048,0.0000006140,0.0000003980
4096,0.0000010500,0.0000008440
8192,0.0000017170,0.0000014480
16384,0.0000032170,0.0000029430
32768,0.0000069020,0.0000063950
65536,0.0000163130,0.0000157150
131072,0.0000328060,0.0000322120
262144,0.0000650340,0.0000638640
524288,0.0001385500,0.0001373700
1048576,0.0003097500,0.0003110100
2097152,0.0013514900,0.0013028400
4194304,0.0022465300,0.0038133200
8388608,0.0050835400,0.0088961600
16777216,0.0106112300,0.0179494000
33554432,0.0216767100,0.0359228600
