0,0.0000001660,0.0000001520
1,0.0000003560,0.0000001550
2,0.0000003520,0.0000001520
4,0.0000003540,0.0000001490
8,0.0000003450,0.0000001540
16,0.0000003570,0.0000001680
32,0.0000003620,0.0000001750
64,0.0000003630,0.0000001750
128,0.0000003800,0.0000001740
256,0.0000003690,0.0000001650
512,0.0000003910,0.0000001880
1024,0.0000004220,0.0000002180
2048,0.0000006120,0.0000004090
4096,0.0000010660,0.0000008140
8192,0.0000017100,0.0000014780
16384,0.0000033260,0.0000031000
32768,0.0000073860,0.0000068090
65536,0.0000168930,0.0000164300
131072,0.0000342400,0.0000335880
262144,0.0000679780,0.0000675110
524288,0.0001440900,0.0001431600
1048576,0.0003294800,0.0003184400
2097152,0.0014500000,0.0013254000
4194304,0.0023301300,0.0022965200
8388608,0.0051900400,0.0051774200
16777216,0.0109117500,0.0109973000
33554432,0.0238647000,0.0234094000
