0,0.0000001830,0.0000001670
1,0.0000003790,0.0000001600
2,0.0000003940,0.0000001660
4,0.0000003670,0.0000001590
8,0.0000003880,0.0000001600
16,0.0000003980,0.0000001760
32,0.0000003790,0.0000001460
64,0.0000003450,0.0000001510
128,0.0000003600,0.0000001600
256,0.0000003830,0.0000002030
512,0.0000003990,0.0000001970
1024,0.0000004300,0.0000002340
2048,0.0000005880,0.0000003920
4096,0.0000010310,0.0000008080
8192,0.0000017270,0.0000014460
16384,0.0000031520,0.0000030200
32768,0.0000070920,0.0000066390
65536,0.0000160540,0.0000155390
131072,0.0000327800,0.0000321960
262144,0.0000651140,0.0000638130
524288,0.0001382200,0.0001364700
1048576,0.0003122900,0.0003131300
2097152,0.0013875000,0.0013275100
4194304,0.0023854300,0.0023132100
8388608,0.0051419000,0.0050700000
16777216,0.0106224200,0.0105998200
33554432,0.0216289200,0.0225899500
