0,0.0000001680,0.0000001530
1,0.0000003590,0.0000001530
2,0.0000003470,0.0000001560
4,0.0000003680,0.0000001650
8,0.0000003700,0.0000001630
16,0.0000003640,0.0000001670
32,0.0000003670,0.0000001560
64,0.0000003600,0.0000001550
128,0.0000003820,0.0000001720
256,0.0000003740,0.0000001640
512,0.0000003970,0.0000001960
1024,0.0000004360,0.0000002240
2048,0.0000006120,0.0000004060
4096,0.0000010600,0.0000008340
8192,0.0000017070,0.0000014440
16384,0.0000030900,0.0000028590
32768,0.0000070860,0.0000068930
65536,0.0000161140,0.0000159820
131072,0.0000326320,0.0000320810
262144,0.0000647710,0.0000643950
524288,0.0001379100,0.0001359500
1048576,0.0003036400,0.0002970700
2097152,0.0013254600,0.0013264200
4194304,0.0022387900,0.0023489300
8388608,0.0050820300,0.0050820800
16777216,0.0113698200,0.0110007900
33554432,0.0228887900,0.0232762900
